n,density,symmetric,norm,method,solver,est,ref,rel_err,sec,ok,error,finite_err,finite_sec,comparable
489,0.05,False,1,monte-carlo,lsmr,19603.663302031415,72158.3759695001,0.7283244940224612,10.151962044648826,True,,True,True,True
489,0.05,False,1,monte-carlo,cg,13933.830680036968,72158.3759695001,0.8068993309116808,10.167182757984847,True,,True,True,True
489,0.05,False,1,monte-carlo,gmres,10495.424126573325,72158.3759695001,0.8545501615639253,10.14994570799172,True,,True,True,True
489,0.05,False,1,monte-carlo,direct,14517.587460661984,72158.3759695001,0.7988093930107535,10.145244085229933,True,,True,True,True
489,0.05,False,2,power,,8.666994383217123,2669.492989369333,0.996753318170255,2.8530601733364165,True,,True,True,True
489,0.05,False,2,lanczos,,204.24064056368763,2669.492989369333,0.9234908496193731,0.07335748383775353,True,,True,True,True
489,0.05,False,2,lanczos_unsym,,141.64260467633346,2669.492989369333,0.946940259727074,0.09939018916338682,True,,True,True,True
489,0.05,False,2,golub-kahan,,150.11930759386533,2669.492989369333,0.9437648616453826,0.3733780952170491,True,,True,True,True
489,0.05,False,2,svds,,181.75406380152404,2669.492989369333,0.9319143880409803,0.09756287699565291,True,,True,True,True
489,0.05,False,2,eigsh,,151.3800645849631,2669.492989369333,0.9432925783331139,0.09847628884017467,True,,True,True,True
489,0.05,False,2,lobpcg,,1.0136768731328745,2669.492989369333,0.9996202736335441,0.21334259398281574,True,,True,True,True
379,0.05,False,1,hager,auto,5402.144375769417,9269.804890750811,0.41723213816942933,0.10195595398545265,True,,True,True,True
379,0.05,False,1,hager,lu,5402.144375769417,9269.804890750811,0.41723213816942933,0.0960861798375845,True,,True,True,True
379,0.05,False,1,hager,lsmr,489.1934342653485,9269.804890750811,0.947227213514121,0.19054371817037463,True,,True,True,True
379,0.05,False,1,hager,cg,0.0,9269.804890750811,1.0,0.14239370776340365,True,,True,True,True
379,0.05,False,1,hager,gmres,30.69220544805497,9269.804890750811,0.9966890127883189,0.15845200372859836,True,,True,True,True
379,0.05,False,1,hager,direct,5402.144375769536,9269.804890750811,0.41723213816941646,0.12645716406404972,True,,True,True,True
379,0.05,False,1,hager-higham,auto,5786.403328480697,9269.804890750811,0.3757793829884994,0.10355892404913902,True,,True,True,True
379,0.05,False,1,hager-higham,lu,5786.403328480697,9269.804890750811,0.3757793829884994,0.10025514895096421,True,,True,True,True
379,0.05,False,1,hager-higham,lsmr,24.501494742942302,9269.804890750811,0.9973568489270589,0.19230240490287542,True,,True,True,True
379,0.05,False,1,hager-higham,cg,,9269.804890750811,,5.697297127917409,True,,False,True,False
379,0.05,False,1,hager-higham,gmres,45.794409980799436,9269.804890750811,0.9950598302207534,0.20044404407963157,True,,True,True,True
379,0.05,False,1,hager-higham,direct,5786.403328480738,9269.804890750811,0.37577938298849495,0.185984977055341,True,,True,True,True
379,0.05,False,1,power,auto,205.01817361748513,9269.804890750811,0.9778832266661786,0.1350441901013255,True,,True,True,True
379,0.05,False,1,power,lu,193.60151546380388,9269.804890750811,0.9791148230469257,0.1414034510962665,True,,True,True,True
379,0.05,False,1,power,lsmr,22.772033417993466,9269.804890750811,0.9975434182610774,2.670920491218567,True,,True,True,True
379,0.05,False,1,power,cg,,9269.804890750811,,1.2485275501385331,True,,False,True,False
379,0.05,False,1,power,gmres,8.502179820231154,9269.804890750811,0.9990828091938899,0.7514794929884374,True,,True,True,True
379,0.05,False,1,power,direct,207.60684542869882,9269.804890750811,0.9776039681659487,1.054159289225936,True,,True,True,True
379,0.05,False,1,oettli-prager,auto,5402.144375769417,9269.804890750811,0.41723213816942933,0.1300287381745875,True,,True,True,True
379,0.05,False,1,oettli-prager,lu,5402.144375769417,9269.804890750811,0.41723213816942933,0.13442250294610858,True,,True,True,True
379,0.05,False,1,oettli-prager,lsmr,635.9932123957556,9269.804890750811,0.9313908739297918,1.1641272841952741,True,,True,True,True
379,0.05,False,1,oettli-prager,cg,731902112856091.6,9269.804890750811,78955503537.84644,0.550991291180253,True,,True,True,True
379,0.05,False,1,oettli-prager,gmres,45.79440998079943,9269.804890750811,0.9950598302207534,0.48823596397414804,True,,True,True,True
379,0.05,False,1,oettli-prager,direct,5402.144375769536,9269.804890750811,0.41723213816941646,0.47951077995821834,True,,True,True,True
379,0.05,False,1,monte-carlo,auto,3977.673888791414,9269.804890750811,0.570899934176582,8.141507648862898,True,,True,True,True
379,0.05,False,1,monte-carlo,lu,3282.201491842839,9269.804890750811,0.6459255043094012,8.07794142793864,True,,True,True,True
379,0.05,False,1,monte-carlo,lsmr,3227.0607901266344,9269.804890750811,0.651873925270367,8.09795084176585,True,,True,True,True
379,0.05,False,1,monte-carlo,cg,3315.395575146021,9269.804890750811,0.6423446216808679,8.10584136703983,True,,True,True,True
379,0.05,False,1,monte-carlo,gmres,3711.644830050312,9269.804890750811,0.5995983870433236,8.105984151829034,True,,True,True,True
379,0.05,False,1,monte-carlo,direct,3270.6167851022324,9269.804890750811,0.6471752292903623,8.100001217797399,True,,True,True,True
379,0.05,False,2,power,,9.514228121858242,389.71372566749426,0.9755866229613482,2.786311003845185,True,,True,True,True
379,0.05,False,2,lanczos,,252.49152184025706,389.71372566749426,0.3521102665609368,0.06186845991760492,True,,True,True,True
379,0.05,False,2,lanczos_unsym,,163.93941782388322,389.71372566749426,0.5793337339014917,0.0880989208817482,True,,True,True,True
379,0.05,False,2,golub-kahan,,133.71750689722197,389.71372566749426,0.6568827370188383,0.37271835561841726,True,,True,True,True
379,0.05,False,2,svds,,202.01877480920456,389.71372566749426,0.4816226334774567,0.08421305799856782,True,,True,True,True
379,0.05,False,2,eigsh,,131.99268978847167,389.71372566749426,0.6613085937314701,0.08776345290243626,True,,True,True,True
379,0.05,False,2,lobpcg,,1.0721133372759224,389.71372566749426,0.997248972087294,0.15891420235857368,True,,True,True,True
447,0.05,False,1,hager,auto,16393.89769454412,15622.945244833767,0.049347446184341864,0.1182556627318263,True,,True,True,True
447,0.05,False,1,hager,lu,16393.89769454412,15622.945244833767,0.049347446184341864,0.1112817320972681,True,,True,True,True
447,0.05,False,1,hager,lsmr,538.1382197312776,15622.945244833767,0.9655546242211128,0.20674379914999008,True,,True,True,True
447,0.05,False,1,hager,cg,3.5996867499341286e+18,15622.945244833767,230410251941737.16,0.15738038485869765,True,,True,True,True
